"crop_authors","author_pubs"
"DELISI, LYNN","37"
"AIROLDI, EDOARDO","25"
"LIN, XIHONG","111"
"MANGO, SUSAN","9"
"SILVER, PAMELA","165"
"WALKER, SUZANNE","87"
"BETANCOURT, THERESA","81"
"WESSLING-RESNICK, MARIANNE","57"
"DULAC, CATHERINE","34"
"ASCHERIO, ALBERTO","180"
"NADLER, LEE","28"
"BERKMAN, LISA","107"
"PRICE, ALKES","75"
"KARPLUS, MARTIN","61"
"HAIGIS, MARCIA","46"
"TRITSCH, NICOLAS","6"
"LINDSTROEM, SARA","1"
"MERKLE, FLORIAN","10"
"SEO, YOUNG","7"
"KRUKENBERG, KRISTIN","5"
"SUBRAMANIAM, ARVIND","3"
"RAJAN, AKHILA","5"
"NABAVI, SHEIDA","5"
"MAROOF, ASIF","5"
"ESVELT, KEVIN","19"
"SANKARARAMAN, SRIRAM","15"
"PANDE, ROHINI","0"
"LIVINGSTONE, MARGARET","47"
"HOGGATT, JONATHAN","12"
"SAMUEL, MELANIE","3"
"MOSALIGANTI, KISHORE","9"
"GOODRICH, LISA","25"
"MELTON, DOUGLAS","70"
"SINGH, GITANJALI","20"
"CLAUS HENN, BIRGIT","14"
"MURANEN, TARU","20"
"YOUNG, SIMON","1"
"THOMAS, SHEILA","10"
"CABAN-MARTINEZ, ALBERTO","20"
"PAULI, ANDREA","13"
"GIRE, DAVID","4"
"PETERSON, TIMOTHY","1"
"BANGHART, MATTHEW","6"
"PATEL, CHIRAG","36"
"KELLEY, DAVID","8"
"PALACIOS, NATALIA","10"
"GOLDSTEIN, EDWARD","25"
"PAULO, JOAO","72"
"NGUYEN, ANDREW","3"
"WARNER, ERICA","17"
"FISHER, HEIDI","5"
"MATTEI, JOSIEMER","38"
"BONDS, MATTHEW","14"
"SHARPE, ARLENE","129"
"GRANDJEAN, PHILIPPE","87"
"KAESER, PASCAL","10"
"KHARCHENKO, PETER","45"
"YEH, JENNIFER","24"
"BLOOM, DAVID","53"
"WARE, NORMA","33"
"FORTIER, CATHERINE","16"
"CAI, TIANXI","101"
"CORNELIS, MARILYN","55"
"LEE, WEI","0"
"SCHACTER, DANIEL","145"
"LAHAV, GALIT","36"
"KRIEGER, NANCY","105"
"KEATING, NANCY","171"
"BUCKEE, CAROLINE","37"
"MARTI, MATTHIAS","32"
"HERRICK, ROBERT","40"
"WEITZ, DAVID","248"
"NIZNIKIEWICZ, MARGARET","67"
"PERRIMON, NORBERT","197"
"ARTAVANIS-TSAKONAS, SPYRIDON","0"
"HIGGINS, DARREN","35"
"LAMONT, ELIZABETH","25"
"IRIZARRY, RAFAEL","25"
"ROSEN, VICKI","36"
"DONG, MIN","14"
"HOWLEY, PETER","44"
"HARWELL, COREY","3"
"GOOD, BYRON","9"
"COEN, DONALD","86"
"HAUSER, RUSS","185"
"BERNHARDT, THOMAS","35"
"HOWE, ROBERT","62"
"SOMERVILLE, LEAH","22"
"ZANOBETTI, ANTONELLA","108"
"VANDERWEELE, TYLER","158"
"HSU, YA","0"
"INTINI, GIUSEPPE","12"
"TONELLATO, PETER","15"
"MANNING, BRENDAN","67"
"WALTER, JOHANNES","61"
"ROWE, MEREDITH","19"
"YUAN, ZHI","0"
"DYMECKI, SUSAN","31"
"TESTA, MARCIA","28"
"KOBZIK, LESTER","81"
"TCHETGEN TCHETGEN, ERIC","77"
"ENGERT, FLORIAN","37"
"WHITMAN, MALCOLM","20"
"HARPER, JEFFREY","0"
"KIM, JANE","89"
"MOONEY, DAVID","207"
"MUSUNURU, KIRAN","37"
"EXTAVOUR, CASSANDRA","48"
"BETLEY, THEODORE","31"
"DENIC, VLADIMIR","14"
"ZHUANG, XIAOWEI","87"
"EGGAN, KEVIN","72"
"TABIN, CLIFFORD","94"
"WILSON, KATHRYN","49"
"MEISSNER, ALEXANDER","73"
"MITCHELL, JAMES","50"
"PAULSSON, JOHAN","29"
"SALIC, ADRIAN","20"
"ROWLEY, CHRISTOPHER","8"
"LESCHZINER, ANDRES","9"
"DESAI, MICHAEL","34"
"SHAKHNOVICH, EUGENE","126"
"KALINCHUK, ANNA","7"
"AHMAD, KAMRAN","0"
"COLAIACOVO, MONICA","39"
"MOAZED, DANESH","63"
"LOK, JUDITH","14"
"RITTER, TOBIAS","59"
"GARRETT, WENDY","56"
"LIU, DAVID","141"
"FONTANA, WALTER","12"
"WAGERS, AMY","84"
"KISHONY, ROY","53"
"MAIR, WILLIAM","16"
"KRUPAT, EDWARD","35"
"WAGNER, GERHARD","168"
"BIEWENER, ANDREW","61"
"HARTL, DANIEL","131"
"TCHETGEN TCHETGEN, ERIC","77"
"KRAVITZ, EDWARD","28"
"BENDER, WELCOME","6"
"SLIZ, PIOTR","37"
"SMITH, MAURICE","19"
"YUAN, JUNYING","90"
"COREY, DAVID","47"
"MEKALANOS, JOHN","77"
"WILSON, RACHEL","42"
"FAWZI, WAFAIE","239"
"YAO, WEI","2"
"SCHIER, ALEXANDER","69"
"LEE, CHIH","0"
"SACKS, FRANK","127"
"DATTA, SANDEEP","15"
"RUDNER, DAVID","49"
"LASSAR, ANDREW","26"
"MURTHY, VENKATESH","78"
"ZHANG, YUN","22"
"GU, CHENGHUA","22"
"VAN VACTOR, DAVID","39"
"WEISSKOPF, MARC","117"
"LIBERLES, STEPHEN","20"
"SHORE, STEPHANIE","74"
"ARLOTTA, PAOLA","47"
"MOONEY, DAVID","207"
"CEPKO, CONSTANCE","79"
"GINTY, DAVID","13"
"YELLEN, GARY","38"
"COWAN, CHAD","50"
"WILLIAMS, DAVID","215"
"MATHIS, DIANE","149"
"MAUNSELL, JOHN","23"
"BLACKLOW, STEPHEN","70"
"LANGE, CHRISTOPH","110"
"BARON, ROLAND","67"
"VALLENDER, ERIC","33"
"GACK, MICHAELA","28"
"CHRISTIANI, DAVID","382"
"WERFEL, JUSTIN","8"
"XIE, XIAOLIANG","13"
"JHA, ASHISH","175"
"LERITZ, ELIZABETH","14"
"BURATOWSKI, STEPHEN","58"
"STARNBACH, MICHAEL","38"
"SMITH FAWZI, MARY","18"
"WEITZ, CHARLES","20"
"BRUGGE, JOAN","87"
"KOLTER, ROBERTO","125"
"FLANAGAN, JOHN","20"
"SUN, QI","133"
"DURAISINGH, MANOJ","75"
"WALTHER, TOBIAS","19"
"LU, QUAN","27"
"MEGASON, SEAN","25"
"RINN, JOHN","76"
"PAGANO, MARCELLO","37"
"REEDE, JOAN","11"
"KNIPE, DAVID","92"
"ASSAD, JOHN","24"
"HILL, ALISON","19"
"WHELAN, SEAN","51"
"HUGHES, MICHAEL","74"
"XU, YAODA","22"
"BORN, RICHARD","27"
"CHURCHMAN, LEE","0"
"GOLAN, DAVID","36"
"SEIDMAN, JONATHAN","52"
"CLARDY, JON","151"
"UCHIDA, NAOSHIGE","28"
"LORY, STEPHEN","44"
"SABATINI, BERNARDO","81"
"GREENBERG, MICHAEL","78"
"NOCERA, DANIEL","67"
"SINCLAIR, DAVID","88"
"CALARCO, JOHN","14"
"BENOIST, CHRISTOPHE","146"
"JENA, ANUPAM","97"
"KASPER, DENNIS","69"
"SALOMON, JOSHUA","102"
"KAWACHI, ICHIRO","410"
"FINLEY, DANIEL","57"
"HOTAMISLIGIL, GOKHAN","104"
"FARESE, ROBERT","25"
"QI, LU","181"
"VON ANDRIAN, ULRICH","108"
"FREDBERG, JEFFREY","91"
"FAWZI, WAFAIE","239"
"HUSKAMP, HAIDEN","100"
"RECK-PETERSON, SAMARA","20"
"RAPOPORT, TOM","86"
"MCCARROLL, STEVEN","68"
"GYGI, STEVEN","323"
"KIRSCHNER, MARC","91"
"MILNER, DANNY","53"
"STROMINGER, JACK","69"
"CHOU, JAMES","52"
"HANAGE, WILLIAM","53"
"COEN, DONALD","86"
"SHAPIRO, ROGER","58"
"GOLDBERG, ALFRED","94"
"WARE, NORMA","33"
"RITTER, TOBIAS","59"
"HU, FRANK","666"
"SORENSEN, GLORIAN","93"
"EYAL, NIR","31"
"HERNANDEZ-DIAZ, SONIA","129"
"DORF, MARTIN","22"
"WILLIAMS, MICHELLE","164"
"MEHROTRA, ATEEV","80"
"REGEHR, WADE","70"
"LANSKE, BEATE","56"
"OLSEN, BJORN","82"
"BACCARELLI, ANDREA","199"
"HOOKER, CHRISTINE","31"
"MCCARLEY, ROBERT","185"
"NORMAND, SHARON","1"
"FARESE, ROBERT","25"
"HUNTER, DAVID","464"
"MITCHISON, TIMOTHY","130"
"SCHWARTZ, JOEL","407"
"GRAY, JESSE","15"
"SPEALMAN, ROGER","36"
"HU, FRANK","666"
"GARSHICK, ERIC","46"
"FREDBERG, JEFFREY","91"
"MCGUIRE, THOMAS","57"
"BACCARELLI, ANDREA","199"
"GAZIANO, THOMAS","42"
"HOCHSCHILD, ANN","39"
"KALENDERIAN, ELSBETH","32"
"HAUSER, RUSS","185"
"DYMECKI, SUSAN","31"
"ARLOTTA, PAOLA","47"
"CANNING, DAVID","37"
"YIN, PENG","44"
"GELLER, ALAN","91"
"DAVAASAMBUU, GANMAA","1"
"ZHUANG, XIAOWEI","87"
"SPIEGELMAN, DONNA","315"
"LANDON, BRUCE","173"
"HOGLE, JAMES","38"
"ROBINS, JAMES","63"
"RIMM, ERIC","387"
"WIRTH, DYANN","107"
"CATTERUCCIA, FLAMINIA","17"
"LIN, XIHONG","111"
"SHAPIRO, ROGER","58"
"BOYD, DANA","28"
"LIPSITCH, MARC","166"
"REED, ROBIN","36"
"LOSICK, RICHARD","130"
"BLOOM, DAVID","53"
"GYGI, STEVEN","323"
"KLECKNER, NANCY","49"
"KAUR, AMITINDER","32"
"YANKNER, BRUCE","22"
"RAMANATHAN, SHARAD","15"
"XIE, XIAOLIANG","13"
"WU, CHAO","0"
"BERNHARDT, THOMAS","35"
"STRUHL, KEVIN","88"
"CLARDY, JON","151"
"YANKNER, BRUCE","22"
"PARKER, KEVIN","75"
"GOLOVCHENKO, JENE","18"
"HARRISON, STEPHEN","126"
"SANES, JOSHUA","79"
"TABIN, CLIFFORD","94"
"ENGERT, FLORIAN","37"
"HENSCH, TAKAO","29"
"DOCKERY, DOUGLAS","51"
"LICHTMAN, JEFF","66"
"KOHANE, ISAAC","176"
"SORGER, PETER","68"
"WILLETT, WALTER","784"
"GARNER, ETHAN","12"
"RUBIN, ERIC","90"
"GELBART, WILLIAM","19"
"CHURCH, GEORGE","252"
"WALKER, BRUCE","221"
"ESSEX, MYRON","9"
"MURRAY, MEGAN","109"
"SEAGE, GEORGE","83"
